Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/batch/3ceebeec-4020-4a34-b0f7-976861a2623b,10,0,8,51.5098299991223,4.182399999990594,156.6224999987753,3255.0,0.014411849427723316,0.0,11,17,150,150,160,160,160,160,160,160,160
GET,/batch/3d122d02-2912-484e-bbf3-fc68c9e1f77f,7,0,7,12.956957143615,2.98800000018673,30.59159999975236,4161.0,0.01008829459940632,0.0,7,17,23,23,31,31,31,31,31,31,31
GET,/batch/3e2640d4-ad2d-47c1-a011-910c44f0c798,5,0,6,25.292079999053385,2.9206999970483594,108.03039999882458,3158.6,0.007205924713861658,0.0,6,6,6,110,110,110,110,110,110,110,110
GET,/batch/3e269c2c-5fb0-4b2b-b492-aef1f020c59d,16,0,32,73.72533749912691,2.8582000013557263,388.9264000026742,3154.1875,0.023058959084357306,0.0,33,47,92,92,300,390,390,390,390,390,390
GET,/batch/3e363b86-6df9-435a-b531-07b7f2aa0ed2,16,0,5,22.878168750139594,2.677399999811314,155.7433999987552,3450.8125,0.023058959084357306,0.0,6,15,33,33,46,160,160,160,160,160,160
GET,/batch/3ea63931-a289-4348-815b-b83a46ac7307,18,0,9,20.745861111613017,4.085700005816761,116.48109999805456,3213.0,0.025941328969901967,0.0,10,17,29,31,39,120,120,120,120,120,120
GET,/batch/3eaba1b0-ad6f-4645-9df8-bf3555b9ab16,16,0,4,14.697018749302515,2.787099998386111,65.54909999977099,2560.375,0.023058959084357306,0.0,6,12,16,16,64,66,66,66,66,66,66
GET,/batch/3eeda1d9-365c-429f-838b-4ca362af0154,13,0,6,8.143138460582122,2.8538999977172352,27.415999997174367,2454.3846153846152,0.01873540425604031,0.0,6,8,8,13,16,27,27,27,27,27,27
GET,/batch/3f257a9e-931e-45b1-ad85-e75f1a5befa9,12,0,14,41.075383333009086,4.140099998039659,200.8397999961744,2923.4166666666665,0.01729421931326798,0.0,19,28,53,53,92,200,200,200,200,200,200
GET,/batch/40af116b-2af1-42dd-b223-57d14f5afca5,13,0,6,21.334315384312784,2.669899993634317,94.38709999813,3455.076923076923,0.01873540425604031,0.0,6,9,43,45,49,94,94,94,94,94,94
GET,/batch/410ce26e-1c9f-4793-83df-87f746818e1f,5,0,4,17.157760002010036,2.926200002548285,68.18470000143861,3059.6,0.007205924713861658,0.0,4,7,7,68,68,68,68,68,68,68,68
GET,/batch/423b40ed-4996-4628-8608-66ce63d60042,12,0,7,64.07163333339365,2.5181000019074418,358.97169999952894,2733.8333333333335,0.01729421931326798,0.0,21,35,130,130,160,360,360,360,360,360,360
GET,/batch/424be324-694c-4694-b364-8d3f4709e29c,9,0,7,22.98891111180031,4.029200004879385,102.22780000185594,2496.1111111111113,0.012970664484950984,0.0,7,12,19,45,100,100,100,100,100,100,100
GET,/batch/43328136-af40-4e8e-ba9d-c8d20ee3b1c4,9,0,11,25.766011111651704,2.8326999963610433,122.90349999966566,3824.777777777778,0.012970664484950984,0.0,11,23,26,26,120,120,120,120,120,120,120
GET,/batch/43ab04d0-6b44-46ba-994e-51a368ef2856,7,0,13,30.332557143992744,4.282900001271628,119.43020000035176,2310.285714285714,0.01008829459940632,0.0,13,16,49,49,120,120,120,120,120,120,120
GET,/batch/43aeca03-cc9a-4137-be50-130ab323f1ba,8,0,6,7.398274999104615,2.8362000011838973,20.487299996602815,4820.375,0.011529479542178653,0.0,6,6,10,10,20,20,20,20,20,20,20
GET,/batch/4578a7e2-e00f-484a-a65f-2b90f2e9799c,8,0,12,33.88602499944682,4.725999999209307,128.9944000018295,2896.125,0.011529479542178653,0.0,22,37,51,51,130,130,130,130,130,130,130
GET,/batch/458df3f6-77f3-4ada-8445-7dc76881525a,8,0,5,10.759425000287592,2.9235999973025173,21.890099997108337,1764.75,0.011529479542178653,0.0,14,15,19,19,22,22,22,22,22,22,22
GET,/batch/470792a4-24d1-4d8a-be23-d400632efc9b,12,0,4,11.892941665792023,2.7092999953310937,38.16959999676328,2855.0,0.01729421931326798,0.0,8,8,22,22,33,38,38,38,38,38,38
GET,/batch/474501b0-bb28-42db-83a5-c4d255751b51,9,0,6,75.12811111114894,2.685899999050889,552.3373999967589,3076.222222222222,0.012970664484950984,0.0,6,13,16,75,550,550,550,550,550,550,550
GET,/batch/484f872b-4f7f-4101-8d31-ff52a065b943,7,0,3,4.901485715111319,2.5712999995448627,13.813300000037998,2777.0,0.01008829459940632,0.0,3,4,4,4,14,14,14,14,14,14,14
GET,/batch/48967d24-b5e0-43f5-9545-42eab4662ec3,5,0,14,46.523260000685696,3.0702000003657304,147.68159999948693,3090.0,0.007205924713861658,0.0,14,64,64,150,150,150,150,150,150,150,150
GET,/batch/491fb967-9f3f-42df-b228-c32d628cb795,9,0,4,20.040688887497204,2.9304999989108182,133.16589999885764,2478.3333333333335,0.012970664484950984,0.0,4,5,9,16,130,130,130,130,130,130,130
GET,/batch/498011a8-5486-4336-b6a3-34183a9816fa,11,0,6,34.719490909827236,2.5456000003032386,258.0884000053629,2106.2727272727275,0.015853034370495647,0.0,6,18,28,28,43,260,260,260,260,260,260
GET,/batch/49db7491-0b6d-433d-8dd1-125cd9ec82a1,7,0,5,17.217714286484156,3.008899999258574,66.37380000029225,3879.0,0.01008829459940632,0.0,5,15,24,24,66,66,66,66,66,66,66
GET,/batch/4a49118b-560a-4eee-a522-54d6a9b1c375,9,0,7,19.807799999802633,2.718700001423713,82.80089999607299,3171.3333333333335,0.012970664484950984,0.0,7,10,21,37,83,83,83,83,83,83,83
GET,/batch/4ab81139-f1fc-49a9-b467-dc9675a269cd,16,0,4,10.4351999998471,2.5610000011511147,52.6834999982384,3370.5,0.023058959084357306,0.0,5,7,12,12,27,53,53,53,53,53,53
GET,/batch/4c15c337-ead3-484e-b524-d47ea77623c7,11,0,6,9.349481818472585,2.5279999972553924,34.93309999612393,4846.363636363636,0.015853034370495647,0.0,6,9,12,12,17,35,35,35,35,35,35
GET,/batch/4ca3970c-b135-4fc4-a1c4-971bf1a4ae98,5,0,5,13.88788000040222,3.997300002083648,35.44469999906141,3746.8,0.007205924713861658,0.0,5,21,21,35,35,35,35,35,35,35,35
GET,/batch/4ca83b50-407c-4a09-b54b-1896cae03d01,8,0,9,59.50568749995,2.945300002465956,326.8974000020535,3900.375,0.011529479542178653,0.0,18,52,60,60,330,330,330,330,330,330,330
GET,/batch/4cc9650a-7ddf-4fea-884c-fe913e425ebe,11,0,5,7.218309089446186,2.7788000006694347,20.12039999681292,3269.3636363636365,0.015853034370495647,0.0,5,6,10,10,17,20,20,20,20,20,20
